death_rate,cancer_rate,income,poplulation,poverty,white,black,asian,married,birth
164.90 ,489.80 ,61.00 ,260.13 ,11.20 ,81.80 ,2.60 ,4.80 ,52.90 ,6.10 
161.30 ,411.60 ,48.00 ,43.27 ,18.60 ,89.20 ,1.00 ,2.20 ,45.40 ,4.30 
174.70 ,349.70 ,49.00 ,21.03 ,14.60 ,90.90 ,0.70 ,0.50 ,54.40 ,3.70 
194.80 ,430.40 ,44.00 ,75.88 ,17.10 ,91.70 ,0.80 ,1.20 ,51.00 ,4.60 
144.40 ,350.10 ,49.00 ,10.32 ,12.50 ,94.10 ,0.30 ,0.70 ,54.00 ,6.80 
176.00 ,505.40 ,52.00 ,61.02 ,15.60 ,84.90 ,1.70 ,1.50 ,51.20 ,5.00 
175.90 ,461.80 ,37.00 ,41.52 ,23.20 ,75.10 ,0.60 ,0.90 ,51.00 ,4.20 
183.60 ,404.00 ,40.00 ,20.85 ,17.80 ,89.40 ,0.30 ,1.89 ,49.00 ,5.90 
190.50 ,459.40 ,42.00 ,13.09 ,22.30 ,91.80 ,0.20 ,0.20 ,53.40 ,5.59 
177.80 ,510.90 ,60.00 ,843.95 ,13.10 ,74.70 ,6.70 ,6.04 ,50.10 ,5.53 
121.40 ,413.30 ,54.00 ,16.25 ,12.70 ,92.60 ,0.70 ,1.40 ,50.00 ,4.60 
172.70 ,499.30 ,51.00 ,121.85 ,15.70 ,85.60 ,0.81 ,1.90 ,52.90 ,5.80 
188.30 ,398.90 ,52.00 ,11.34 ,12.60 ,93.40 ,0.84 ,1.00 ,52.90 ,4.80 
165.30 ,493.40 ,71.00 ,772.50 ,9.90 ,78.80 ,2.60 ,9.50 ,52.70 ,4.70 
171.00 ,440.70 ,50.00 ,490.95 ,16.30 ,89.00 ,1.83 ,2.30 ,48.20 ,5.40 
174.20 ,423.80 ,43.00 ,43.79 ,19.30 ,89.20 ,0.50 ,0.60 ,55.20 ,3.60 
169.90 ,495.90 ,61.00 ,269.54 ,11.90 ,82.60 ,2.84 ,5.80 ,50.90 ,5.20 
153.80 ,463.20 ,51.00 ,4.04 ,13.90 ,93.00 ,0.10 ,1.14 ,53.40 ,0.50 
162.80 ,442.50 ,49.00 ,60.34 ,15.70 ,86.20 ,1.60 ,1.60 ,49.33 ,4.10 
163.30 ,490.90 ,53.00 ,212.28 ,15.70 ,85.50 ,0.90 ,3.90 ,48.10 ,4.50 
140.80 ,390.50 ,41.00 ,48.18 ,28.40 ,83.60 ,2.15 ,7.60 ,40.60 ,3.30 
169.40 ,411.00 ,44.00 ,248.83 ,20.50 ,78.00 ,0.84 ,1.10 ,50.70 ,6.56 
189.70 ,445.20 ,35.00 ,16.70 ,21.50 ,96.80 ,0.80 ,0.40 ,55.30 ,2.30 
206.10 ,463.10 ,56.00 ,111.90 ,13.20 ,87.80 ,7.30 ,1.10 ,51.50 ,4.87 
236.70 ,501.80 ,37.00 ,23.37 ,22.10 ,98.30 ,0.70 ,0.10 ,53.10 ,4.20 
196.30 ,396.60 ,33.00 ,14.42 ,22.20 ,97.90 ,0.50 ,0.00 ,53.30 ,5.47 
186.20 ,481.60 ,43.00 ,23.35 ,15.10 ,96.80 ,1.70 ,0.50 ,47.60 ,5.00 
194.00 ,483.40 ,34.00 ,96.84 ,21.90 ,91.10 ,4.80 ,1.20 ,40.80 ,4.50 
226.50 ,459.90 ,32.00 ,7.47 ,21.80 ,98.30 ,0.10 ,0.05 ,53.30 ,4.78 
212.90 ,591.00 ,32.00 ,8.91 ,25.10 ,98.00 ,0.00 ,0.00 ,58.10 ,8.80 
185.60 ,234.00 ,41.00 ,8.18 ,17.40 ,96.70 ,1.10 ,0.10 ,53.90 ,6.02 
217.00 ,457.00 ,36.00 ,45.00 ,21.40 ,93.40 ,5.20 ,0.10 ,49.90 ,6.50 
209.90 ,463.10 ,32.00 ,8.52 ,28.90 ,81.60 ,10.90 ,0.32 ,52.60 ,2.30 
128.00 ,356.30 ,41.00 ,11.77 ,17.00 ,97.40 ,1.40 ,0.00 ,55.40 ,3.50 
195.10 ,494.90 ,36.00 ,35.52 ,21.10 ,94.10 ,2.30 ,0.40 ,47.50 ,4.40 
212.10 ,475.10 ,35.00 ,23.35 ,21.20 ,97.20 ,1.40 ,0.00 ,33.70 ,2.30 
184.10 ,495.00 ,48.00 ,29.82 ,12.90 ,95.70 ,2.20 ,0.20 ,48.40 ,5.70 
153.00 ,374.90 ,41.00 ,13.85 ,15.30 ,94.70 ,4.40 ,0.50 ,51.40 ,3.00 
206.70 ,506.60 ,42.00 ,68.71 ,13.90 ,95.70 ,1.80 ,0.50 ,49.70 ,5.10 
194.20 ,475.80 ,41.00 ,29.24 ,16.70 ,97.40 ,0.70 ,0.20 ,55.50 ,4.70 
178.20 ,423.70 ,66.00 ,56.48 ,10.20 ,88.20 ,7.00 ,1.62 ,54.10 ,5.00 
205.40 ,508.70 ,43.00 ,188.33 ,16.80 ,88.70 ,4.48 ,1.10 ,43.70 ,4.10 
218.40 ,553.00 ,40.00 ,16.45 ,20.00 ,97.81 ,0.50 ,0.30 ,49.90 ,4.37 
226.90 ,513.20 ,34.00 ,21.42 ,24.40 ,98.30 ,0.50 ,0.30 ,52.90 ,2.60 
240.10 ,523.90 ,36.00 ,34.71 ,20.20 ,96.40 ,2.20 ,0.40 ,52.30 ,4.20 
234.80 ,457.10 ,24.00 ,19.84 ,34.90 ,89.40 ,9.20 ,0.00 ,44.30 ,3.90 
